event,date,location,name_1,nationality_1,work_location_1,weight_1,height_1,dob_1,name_2,nationality_2,work_location_2,weight_2,height_2,dob_2,age_1,age_2,age_d,weight_class
Garcia vs Redkach,2020-01-25,"Barclays Center, Brooklyn, New York",Danny Garcia,USA,Pennsylvania,147,173,1988-03-20,Ivan Redkach,Ukraine,California,135,177,1986-03-11,31,33,2,Welterweight
Davis vs Gamboa,2019-12-28,"State Farm Arena, Atlanta, Georgia",Gervonta Davis,USA,Maryland,130,166,1994-11-07,Yuriorkis Gamboa,Cuba,Florida,135,166,1981-12-23,25,38,12,Super featherweight
Centeno Jr vs Montiel,2019-12-21,"Toyota Arena, Ontario, California",Hugo Centeno Jr,USA,California,160,185,1991-02-19,Juan Macias Montiel,Mexico,Sinaloa,160,185,1994-04-15,28,25,-3,Middleweight
Harrison vs Charlo II,2019-12-21,"Toyota Arena, Ontario, California",Tony Harrison,USA,Michigan,154,185,1990-09-06,Jermell Charlo,USA,Texas,154,180,1990-05-19,29,29,0,Super welterweight
Charlo vs Hogan,2019-12-07,"Barclays Center, Brooklyn, New York",Jermall Charlo,USA,Texas,160,183,1990-05-19,Dennis Hogan,Ireland,Queensland,154,173,1985-03-01,29,34,5,Middleweight
Wilder vs Ortiz II,2019-11-23,"MGM Grand Garden Arena, Las Vegas, Nevada",Deontay Wilder,USA,Alabama,226,201,1985-10-22,Luis Ortiz,Cuba,Florida,240,193,1979-03-29,34,40,6,Heavyweight
Castano vs Omotoso,2019-11-02,"MGM National Harbor, Oxon Hill, Maryland",Brian Carlos Castano,Argentina,Buenos Aires,154,171,1989-09-12,Wale Omotoso,Nigeria,California,147,179,1985-05-05,30,34,4,Super welterweight
Lubin vs Gallimore,2019-10-26,"Santander Arena, Reading, Pennsylvania ",Erickson Lubin,USA,Florida,154,177,1995-10-01,Nathaniel Gallimore,USA,Illinois,154,180,1988-05-11,24,31,7,Super welterweight
Spence vs Porter,2019-09-28,"Staples Center, Los Angeles, California",Errol Spence Jr,USA,Texas,147,177,1990-01-13,Shawn Porter,USA,Nevada,147,170,1987-10-27,29,31,2,Welterweight
Quillin vs Angulo,2019-09-21,"Rabobank Arena, Bakersfield, California",Peter Quillin,USA,New York,160,185,1983-06-22,Alfredo Angulo,Mexico,California,168,175,1982-08-11,36,37,0,Middleweight
Lara vs Alvarez,2019-08-31,"The Armory, Minneapolis, Minnesota ",Erislandy Lara,USA,Texas,154,175,1983-04-11,Ramon Alvarez,Mexico,Jalisco,154,173,1986-08-09,36,33,-3,Super welterweight
Figueroa vs Chacon,2019-08-24,"Bert Ogden Arena, Edinburg, Texas",Brandon Figueroa,USA,Texas,122,175,1996-12-29,Javier Nicolas Chacon,Argentina,Mendoza,122,165,1981-05-12,22,38,15,Super bantamweight
Kownacki vs Arreola,2019-08-03,"Barclays Center, Brooklyn, New York",Adam Kownacki,Poland,New York,250,191,1989-03-27,Chris Arreola,USA,California,246,191,1981-03-05,30,38,8,Heavyweight
Davis vs Nunez,2019-07-27,"Royal Farms Arena, Baltimore, Maryland",Gervonta Davis,USA,Maryland,130,166,1994-11-07,Ricardo Nunez,Panama,,122,168,1993-07-28,24,25,1,Super featherweight
Plant vs Lee,2019-07-20,"MGM Grand Garden Arena, Las Vegas, Nevada",Caleb Plant,USA,Nevada,168,185,1992-07-08,Mike Lee,USA,Illinois,168,183,1987-06-17,27,32,5,Super middleweight
Pacquiao vs Thurman,2019-07-20,"MGM Grand Garden Arena, Las Vegas, Nevada",Manny Pacquiao,Philippines,Cotabato del Sur,147,166,1978-12-17,Keith Thurman,USA,Florida,147,171,1988-11-23,40,30,-9,Welterweight
James vs DeMarco,2019-07-13,"The Armory, Minneapolis, Minnesota ",Jamal James,USA,Minnesota,147,188,1988-07-27,Antonio DeMarco,Mexico,California,149,178,1986-01-07,30,33,2,Welterweight
Charlo vs Adams,2019-06-29,"NRG Arena, Houston, Texas",Jermall Charlo,USA,Texas,160,183,1990-05-19,Brandon Adams,USA,California,160,175,1989-07-31,29,29,0,Middleweight
Charlo vs Cota,2019-06-23,"Mandalay Bay Events Center, Las Vegas, Nevada",Jermell Charlo,USA,Texas,154,180,1990-05-19,Jorge Cota,Mexico,Sinaloa,154,180,1987-12-11,29,31,2,Super welterweight
Alexander vs Redkach,2019-06-01,"Soboba Casino Resort, San Jacinto, California",Devon Alexander,USA,Missouri,147,174,1987-02-10,Ivan Redkach,Ukraine,California,135,177,1986-03-11,32,33,0,Welterweight
Trout vs Gausha,2019-05-25,"Beau Rivage Resort and Casino, Biloxi, Mississippi",Austin Trout,USA,New Mexico,154,177,1985-09-18,Terrell Gausha,USA,California,160,178,1987-09-09,33,31,-1,Super welterweight
Wilder vs Breazeale,2019-05-18,"Barclays Center, Brooklyn, New York",Deontay Wilder,USA,Alabama,226,201,1985-10-22,Dominic Breazeale,USA,California,253,201,1985-08-24,33,33,0,Heavyweight
Easter vs Barthelemy,2019-04-27,"The Chelsea at The Cosmopolitan, Las Vegas, Nevada",Robert Easter Jr,USA,Ohio,135,180,1991-01-26,Rances Barthelemy,Cuba,Nevada,140,178,1986-06-25,28,32,4,Lightweight
Garcia vs Granados,2019-04-20,"Dignity Health Sports Park, Carson, California",Danny Garcia,USA,Pennsylvania,147,173,1988-03-20,Adrian Granados,Mexico,California,140,175,1989-08-14,31,29,-1,Welterweight
Quillin vs Truax,2019-04-13,"The Armory, Minneapolis, Minnesota ",Peter Quillin,USA,New York,160,185,1983-06-22,Caleb Truax,USA,Minnesota,168,185,1983-09-14,35,35,0,Middleweight
Peterson vs Lipinets,2019-03-24,"MGM National Harbor, Oxon Hill, Maryland",Lamont Peterson,USA,Maryland,147,175,1984-01-24,Sergey Lipinets,Russia,California,140,170,1989-03-23,35,30,-5,Welterweight
